number,flame,ADV_bd,ADV_rl,poison_rate,iid,degree_niid,server_acc
1,False,0,0,0.8,True,np.nan,"[0.716, 0.736, 0.754, 0.774, 0.782, 0.799, 0.807, 0.808, 0.814, 0.814, 0.821, 0.822, 0.824, 0.832, 0.835, 0.837, 0.843, 0.843, 0.848, 0.848, 0.848, 0.847, 0.853, 0.851, 0.851, 0.852, 0.846, 0.851, 0.851, 0.855]"
2,False,0,20,1,True,np.nan,"[0.633, 0.713, 0.733, 0.738, 0.752, 0.765, 0.765, 0.774, 0.782, 0.791, 0.787, 0.793, 0.797, 0.8, 0.808, 0.8, 0.808, 0.815, 0.813, 0.813, 0.825, 0.819, 0.822, 0.827, 0.829, 0.831, 0.826, 0.829, 0.827, 0.827]"
3,False,20,0,0.8,True,np.nan,"[0.415, 0.562, 0.514, 0.626, 0.697, 0.643, 0.721, 0.705, 0.709, 0.696, 0.731, 0.701, 0.755, 0.711, 0.762, 0.757, 0.76, 0.766, 0.778, 0.758, 0.779, 0.774, 0.776, 0.781, 0.779, 0.774, 0.737, 0.782, 0.768, 0.752]"
4,False,0,0,np.nan,False,0.9,"[0.439, 0.437, 0.574, 0.593, 0.683, 0.631, 0.706, 0.683, 0.713, 0.759, 0.726, 0.755, 0.732, 0.765, 0.783, 0.759, 0.778, 0.77, 0.781, 0.77, 0.768, 0.772, 0.778, 0.777, 0.779, 0.78, 0.783, 0.782, 0.777, 0.786]"
5,False,0,20,0.8,True,np.nan,"[0.604, 0.737, 0.764, 0.792, 0.792, 0.803, 0.806, 0.81, 0.824, 0.835, 0.838, 0.832, 0.839, 0.848, 0.843, 0.852, 0.852, 0.859, 0.853, 0.862, 0.864, 0.863, 0.865, 0.868, 0.865, 0.874, 0.87, 0.873, 0.867, 0.873]"
6,False,20,0,0.8,False,0.9,
7,False,0,20,0.8,False,0.9,"[0.297, 0.338, 0.518, 0.39, 0.663, 0.615, 0.659, 0.669, 0.673, 0.714, 0.667, 0.712, 0.695, 0.718, 0.686, 0.718, 0.695, 0.735, 0.703, 0.726, 0.72, 0.726, 0.717, 0.721, 0.728, 0.733, 0.728, 0.735, 0.731, 0.732]"
